Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,ID,ESN,Price
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",D3,355237868023861,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",DU,352678436224312,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EF,358654490852839,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",E5,351138102221150,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CU,351055805167698,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CV,354739184254287,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EB,353763866485747,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",C5,351475534301139,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",DS,352408237505457,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",D6,355883348458365,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",DT,358824782304134,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",D7,355939496377557,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",E8,354066788959719,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",D4,355402930144711,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",E6,354455401563067,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",DM,351224679701848,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",DN,351544452262076,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",C1,352164233663267,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CI,356122171419296,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CB,354551500973668,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CC,354551502472974,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CD,354739187423327,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",C9,353941307667137,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",C8,353341831490660,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",C7,353341831164927,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",F3,352991730196908,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",F2,357774331387125,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CK,354551507877243,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CP,353341836083965,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CO,357774336614440,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CR,351829680337232,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CM,353257398512078,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CQ,350555048595283,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",CL,354455405943224,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EG,356199679701235,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EM,350225647689727,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EH,358691734693553,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EI,355402931040173,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",ES,354455406645182,$254.80
Apple,13,N/A,Unlocked,128GB,Mixed,AB,"",EV,352408230192436,$254.80
